ID,connected
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,1
57,1
58,0
59,0
60,1
61,0
62,1
63,1
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,1
117,0
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,0
130,0
131,1
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,1
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,1
178,1
179,0
180,1
181,0
182,1
183,1
184,0
185,0
186,0
187,1
188,1
189,0
190,0
191,1
192,1
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,1
217,1
218,0
219,1
220,0
221,1
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,0
238,0
239,1
240,1
241,0
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,1
261,1
262,1
263,0
264,0
265,1
266,1
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,1
313,1
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,1
362,0
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,1
375,0
376,0
377,0
378,1
379,0
380,0
381,1
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,1
395,0
396,0
397,0
398,0
399,1
400,0
401,0
402,1
403,0
404,0
405,1
406,1
407,1
408,1
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,1
420,0
421,0
422,1
423,1
424,1
425,1
426,0
427,0
428,1
429,0
430,0
431,0
432,0
433,1
434,1
435,1
436,0
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,0
459,0
460,0
461,1
462,1
463,1
464,0
465,0
466,0
467,1
468,0
469,0
470,0
471,1
472,0
473,1
474,1
475,1
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,1
486,1
487,1
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,1
500,0
501,0
502,0
503,1
504,1
505,1
506,1
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
